frame,timestamp,behavior,confidence,attention_level,delta,raw_score,smoothed_score,track_id,student_name
4,1775548558.8813334,discussing,0.6375055313110352,MEDIUM,0.5,50.5,50.5,1,Student_1
5,1775548558.9485865,discussing,0.6708289384841919,MEDIUM,0.5,51.0,50.75,1,Student_1
6,1775548559.0848737,discussing,0.7128055691719055,MEDIUM,0.5,51.5,51.0,1,Student_1
7,1775548559.1603038,discussing,0.6988158822059631,MEDIUM,0.5,52.0,51.25,1,Student_1
8,1775548559.2337508,discussing,0.6737082004547119,MEDIUM,0.5,52.5,51.5,1,Student_1
9,1775548559.304733,discussing,0.6035184860229492,MEDIUM,0.5,53.0,51.75,1,Student_1
10,1775548559.379601,discussing,0.6129832863807678,MEDIUM,0.5,53.5,52.0,1,Student_1
11,1775548559.4637847,discussing,0.6087239384651184,MEDIUM,0.5,54.0,52.25,1,Student_1
12,1775548559.5329316,discussing,0.6087239384651184,MEDIUM,0.5,54.5,52.5,1,Student_1
13,1775548559.601032,discussing,0.5757589936256409,MEDIUM,0.5,55.0,52.75,1,Student_1
14,1775548559.6658494,discussing,0.5506625175476074,MEDIUM,0.5,55.5,53.0,1,Student_1
15,1775548559.7330372,discussing,0.5656920671463013,MEDIUM,0.5,56.0,53.25,1,Student_1
16,1775548559.8198733,discussing,0.5910785794258118,MEDIUM,0.5,56.5,53.5,1,Student_1
17,1775548559.887926,discussing,0.5713459253311157,MEDIUM,0.5,57.0,53.75,1,Student_1
18,1775548559.9535515,discussing,0.638851523399353,MEDIUM,0.5,57.5,54.0,1,Student_1
19,1775548560.1044898,discussing,0.6134280562400818,MEDIUM,0.5,58.0,54.25,1,Student_1
20,1775548560.2284572,discussing,0.6519611477851868,MEDIUM,0.5,58.5,54.5,1,Student_1
21,1775548560.3709264,discussing,0.6633568406105042,MEDIUM,0.5,59.0,54.75,1,Student_1
22,1775548560.4930596,discussing,0.5403590202331543,MEDIUM,0.5,59.5,55.0,1,Student_1
23,1775548560.5942743,discussing,0.4665205478668213,MEDIUM,0.5,60.0,55.25,1,Student_1
24,1775548560.685838,discussing,0.5379461646080017,MEDIUM,0.5,60.5,55.5,1,Student_1
25,1775548560.796815,discussing,0.6573266386985779,MEDIUM,0.5,61.0,55.75,1,Student_1
26,1775548560.9797297,discussing,0.5396331548690796,MEDIUM,0.5,61.5,56.0,1,Student_1
27,1775548561.0812447,discussing,0.5857998132705688,MEDIUM,0.5,62.0,56.25,1,Student_1
28,1775548561.1837726,discussing,0.583393394947052,MEDIUM,0.5,62.5,56.5,1,Student_1
45,1775548562.8961365,talking,0.557710587978363,LOW,-1.5,61.0,56.67307692307692,1,Student_1
427,1775548589.6780121,discussing,0.5660447478294373,MEDIUM,0.5,50.5,50.5,3,Student_3
428,1775548589.780573,discussing,0.5519521832466125,MEDIUM,0.5,51.0,50.75,3,Student_3
429,1775548589.87478,discussing,0.4886983335018158,MEDIUM,0.5,51.5,51.0,3,Student_3
430,1775548589.9717088,discussing,0.4769878089427948,MEDIUM,0.5,52.0,51.25,3,Student_3
431,1775548590.0958586,discussing,0.48585182428359985,MEDIUM,0.5,52.5,51.5,3,Student_3
432,1775548590.2151601,discussing,0.46977701783180237,MEDIUM,0.5,53.0,51.75,3,Student_3
433,1775548590.299925,discussing,0.53289794921875,MEDIUM,0.5,53.5,52.0,3,Student_3
434,1775548590.4085913,discussing,0.5123103857040405,MEDIUM,0.5,54.0,52.25,3,Student_3
435,1775548590.503406,discussing,0.48672717809677124,MEDIUM,0.5,54.5,52.5,3,Student_3
436,1775548590.6213114,discussing,0.5092496275901794,MEDIUM,0.5,55.0,52.75,3,Student_3
