               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065594,            0.047138,             0.04617,              0.4126,             0.39035,             0.15981,             0.09062,            0.037188,            0.026535,            0.035191,            0.070014,           0.0033317,           0.0033317
                   1,            0.045994,            0.043041,            0.034944,             0.33486,             0.43621,             0.22429,             0.14016,            0.031377,            0.025072,            0.029688,            0.039794,           0.0064451,           0.0064451
                   2,            0.041523,            0.042005,            0.030837,             0.34403,             0.45212,             0.23172,             0.14359,            0.030591,            0.025305,            0.028264,           0.0093544,           0.0093385,           0.0093385
                   3,            0.039374,            0.042532,            0.029454,              0.2765,              0.5328,              0.2601,             0.17001,             0.02845,            0.025003,            0.026777,             0.00901,             0.00901,             0.00901
                   4,            0.037531,            0.042011,            0.028889,             0.37324,             0.48863,             0.25358,                0.17,            0.028714,            0.025769,            0.026683,             0.00901,             0.00901,             0.00901
                   5,            0.036298,              0.0419,            0.028263,             0.21731,             0.53636,             0.26277,             0.18108,            0.026685,            0.025134,            0.026414,             0.00868,             0.00868,             0.00868
                   6,            0.035238,            0.041997,            0.027033,             0.26074,             0.53864,             0.27254,             0.19106,            0.026201,             0.02463,              0.0265,             0.00835,             0.00835,             0.00835
                   7,            0.034176,            0.040576,            0.026447,             0.27049,              0.5361,             0.28664,             0.20454,            0.026155,            0.025052,            0.025774,             0.00802,             0.00802,             0.00802
                   8,            0.032714,            0.040587,            0.025492,             0.26119,             0.56475,             0.28958,             0.20424,             0.02552,            0.024555,            0.024513,             0.00769,             0.00769,             0.00769
                   9,            0.032107,            0.039698,            0.024894,              0.2598,             0.53738,             0.29892,             0.21845,            0.024436,            0.024507,            0.023433,             0.00736,             0.00736,             0.00736
                  10,            0.031262,            0.039775,             0.02472,             0.27346,             0.54249,             0.30552,             0.22402,            0.024338,            0.024358,            0.024571,             0.00703,             0.00703,             0.00703
                  11,            0.030514,            0.040025,            0.023856,             0.28106,             0.56876,             0.31271,             0.23299,             0.02391,            0.024284,            0.023519,              0.0067,              0.0067,              0.0067
                  12,            0.030141,            0.039251,            0.023361,             0.28201,             0.54277,             0.30101,             0.22564,            0.023492,            0.024446,            0.024008,             0.00637,             0.00637,             0.00637
                  13,            0.029288,            0.038754,            0.022686,             0.28876,             0.55255,             0.31439,             0.23719,            0.023129,            0.024198,            0.024186,             0.00604,             0.00604,             0.00604
                  14,            0.028397,             0.03841,            0.022521,             0.27659,             0.56695,             0.30583,             0.23263,            0.023656,            0.024741,            0.023531,             0.00571,             0.00571,             0.00571
                  15,            0.028008,            0.037721,            0.022013,             0.28964,              0.5897,             0.31745,              0.2435,            0.022844,             0.02382,            0.023589,             0.00538,             0.00538,             0.00538
                  16,            0.027093,            0.037619,             0.02159,             0.28925,             0.55699,             0.30912,             0.23746,            0.022127,             0.02427,            0.024655,             0.00505,             0.00505,             0.00505
                  17,            0.026471,            0.037013,            0.021135,             0.28074,              0.5812,             0.30452,             0.23528,            0.021991,            0.024308,             0.02394,             0.00472,             0.00472,             0.00472
                  18,            0.025848,             0.03666,            0.020451,             0.29916,             0.59506,             0.30777,             0.24001,            0.021907,            0.024818,            0.024594,             0.00439,             0.00439,             0.00439
                  19,             0.02573,            0.037133,            0.020039,             0.29933,             0.54309,             0.30868,             0.24173,            0.022157,            0.024606,            0.025158,             0.00406,             0.00406,             0.00406
                  20,            0.024702,             0.03633,            0.019447,              0.3091,             0.57937,             0.31754,             0.25215,            0.021035,            0.024499,            0.023216,             0.00373,             0.00373,             0.00373
                  21,            0.024114,            0.035658,            0.019392,             0.29526,             0.59665,             0.31333,             0.24674,            0.021302,            0.024769,             0.02354,              0.0034,              0.0034,              0.0034
                  22,            0.024079,            0.034761,             0.01964,             0.29023,             0.60804,             0.31316,             0.24847,            0.021075,            0.024451,            0.024368,             0.00307,             0.00307,             0.00307
                  23,            0.023581,              0.0348,            0.018933,             0.29032,             0.57426,             0.30842,             0.24547,            0.021044,            0.024672,            0.024892,             0.00274,             0.00274,             0.00274
                  24,            0.022795,            0.034381,            0.018593,             0.29466,             0.60416,             0.31537,             0.25334,            0.020869,            0.024645,            0.023851,             0.00241,             0.00241,             0.00241
                  25,            0.022604,            0.034318,            0.018211,             0.30626,             0.59371,             0.31266,             0.24865,            0.020634,            0.024602,            0.025348,             0.00208,             0.00208,             0.00208
                  26,             0.02181,            0.033205,            0.017665,             0.31254,             0.58295,             0.31442,             0.25226,            0.020446,            0.024693,            0.024834,             0.00175,             0.00175,             0.00175
                  27,            0.021473,            0.033001,            0.017398,             0.29627,             0.57732,             0.31121,             0.25275,            0.020063,            0.024873,            0.024861,             0.00142,             0.00142,             0.00142
                  28,            0.021452,             0.03295,            0.016912,             0.29165,             0.62757,             0.31288,             0.25503,            0.020054,            0.025023,            0.024975,             0.00109,             0.00109,             0.00109
                  29,            0.020677,            0.032368,             0.01653,             0.29598,             0.61949,             0.31093,               0.252,            0.019981,            0.025367,             0.02543,             0.00076,             0.00076,             0.00076
