               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068728,            0.046363,            0.046936,              0.2927,             0.33073,             0.13764,            0.073303,            0.038109,            0.026923,            0.035942,            0.070014,           0.0033317,           0.0033317
                   1,            0.047996,            0.043706,            0.035971,             0.33052,             0.43196,             0.20555,             0.12229,            0.033277,            0.026008,             0.03104,            0.039794,           0.0064451,           0.0064451
                   2,            0.043432,            0.042968,            0.031815,             0.33213,             0.44991,             0.21838,             0.13623,            0.031465,            0.025612,            0.028742,           0.0093544,           0.0093385,           0.0093385
                   3,            0.041426,            0.043231,            0.030565,             0.35455,             0.49678,             0.23545,             0.14386,            0.030954,            0.025806,            0.028103,             0.00901,             0.00901,             0.00901
                   4,            0.039172,            0.042941,            0.029822,              0.3621,             0.47505,             0.23642,             0.14853,            0.030531,            0.026367,            0.027069,             0.00901,             0.00901,             0.00901
                   5,            0.038184,            0.042818,            0.029075,             0.21154,             0.52253,             0.25292,              0.1588,            0.029287,            0.025563,             0.02632,             0.00868,             0.00868,             0.00868
                   6,             0.03663,            0.042852,            0.027894,             0.24971,             0.51492,             0.26906,             0.17717,            0.027998,            0.025122,            0.025839,             0.00835,             0.00835,             0.00835
                   7,            0.035808,            0.041377,            0.027363,              0.2333,             0.53754,             0.26628,             0.18595,            0.027289,            0.025471,             0.02652,             0.00802,             0.00802,             0.00802
                   8,             0.03444,            0.041392,            0.026666,             0.25739,             0.52814,             0.27832,             0.19721,            0.026243,            0.025014,            0.024968,             0.00769,             0.00769,             0.00769
                   9,            0.033471,            0.040525,            0.025734,             0.23614,             0.52832,             0.27289,             0.19084,            0.026013,            0.025326,            0.024186,             0.00736,             0.00736,             0.00736
                  10,            0.032714,            0.040381,            0.025599,             0.26173,             0.52258,             0.28018,             0.20504,            0.025462,            0.024749,             0.02527,             0.00703,             0.00703,             0.00703
                  11,            0.031896,            0.040705,            0.024556,             0.27185,             0.56207,             0.28155,             0.20128,            0.025287,            0.025036,            0.024401,              0.0067,              0.0067,              0.0067
                  12,            0.031635,            0.040088,             0.02402,             0.27507,             0.54453,              0.2866,             0.20888,            0.024943,            0.024601,            0.024069,             0.00637,             0.00637,             0.00637
                  13,            0.031056,            0.039847,            0.023456,             0.26228,             0.54598,               0.297,             0.22086,            0.024677,            0.024826,            0.025099,             0.00604,             0.00604,             0.00604
                  14,             0.03008,            0.039396,            0.023568,             0.26998,             0.54031,             0.28839,             0.21446,            0.024731,            0.025182,            0.024926,             0.00571,             0.00571,             0.00571
                  15,            0.029584,            0.038663,            0.023133,             0.27509,             0.55051,             0.30329,             0.22833,            0.023757,            0.024619,            0.024126,             0.00538,             0.00538,             0.00538
                  16,            0.028942,            0.038878,            0.022884,             0.29093,             0.55251,             0.30255,             0.22772,            0.023676,            0.024466,            0.024168,             0.00505,             0.00505,             0.00505
                  17,            0.028429,            0.038251,            0.022423,             0.28375,             0.54441,             0.30056,             0.22519,             0.02343,            0.024481,            0.023645,             0.00472,             0.00472,             0.00472
                  18,            0.027721,            0.037948,            0.021817,             0.28116,             0.55956,             0.29751,             0.22318,            0.023366,            0.025213,              0.0239,             0.00439,             0.00439,             0.00439
                  19,             0.02769,            0.038575,            0.021608,              0.2825,             0.57213,             0.30042,             0.22972,            0.022553,            0.024765,            0.024674,             0.00406,             0.00406,             0.00406
                  20,            0.026709,            0.037841,            0.020668,              0.2935,             0.55281,             0.30866,             0.23678,            0.022563,            0.024502,            0.023529,             0.00373,             0.00373,             0.00373
                  21,             0.02614,            0.037279,            0.020805,             0.29032,             0.57851,             0.30704,             0.23739,            0.022379,            0.024816,            0.023559,              0.0034,              0.0034,              0.0034
                  22,             0.02606,             0.03623,             0.02109,             0.29682,              0.5881,             0.31192,             0.24266,            0.022106,            0.024633,            0.024267,             0.00307,             0.00307,             0.00307
                  23,            0.025857,            0.036606,            0.020554,               0.283,             0.57318,             0.30725,             0.24135,            0.022345,            0.024867,            0.024357,             0.00274,             0.00274,             0.00274
                  24,            0.024891,            0.036035,            0.019954,             0.28236,             0.59271,             0.30279,             0.23636,            0.022053,            0.024816,            0.024167,             0.00241,             0.00241,             0.00241
                  25,            0.024661,            0.035978,            0.019823,             0.28695,             0.59274,             0.30674,              0.2421,            0.021764,            0.025016,            0.024987,             0.00208,             0.00208,             0.00208
                  26,            0.024029,            0.035117,            0.019328,             0.28874,             0.59369,             0.30331,             0.23861,            0.021518,            0.025201,            0.024619,             0.00175,             0.00175,             0.00175
                  27,            0.023812,            0.035012,             0.01906,             0.29039,             0.57488,             0.31162,             0.24815,            0.021168,            0.024992,            0.024106,             0.00142,             0.00142,             0.00142
                  28,            0.023691,            0.034965,            0.018527,             0.28918,             0.57426,             0.31401,             0.25197,            0.021131,            0.024927,            0.024189,             0.00109,             0.00109,             0.00109
                  29,            0.023022,            0.034437,            0.018346,             0.29107,             0.58689,              0.3057,             0.24443,            0.021011,            0.025364,            0.024535,             0.00076,             0.00076,             0.00076
