               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078858,            0.045112,            0.051599,              0.3814,             0.21859,            0.083218,            0.037434,            0.046084,            0.028525,            0.040106,            0.070014,           0.0033317,           0.0033317
                   1,            0.054917,            0.045513,            0.040162,             0.15259,             0.37343,             0.14381,            0.071607,             0.03968,            0.027291,            0.034331,            0.039794,           0.0064451,           0.0064451
                   2,            0.051408,            0.044895,            0.036259,             0.42635,             0.36262,             0.16256,            0.084863,            0.039441,            0.026246,            0.033094,           0.0093544,           0.0093385,           0.0093385
                   3,             0.04882,            0.045038,            0.034361,             0.31666,             0.40343,              0.1898,             0.10077,            0.036603,             0.02707,             0.03035,             0.00901,             0.00901,             0.00901
                   4,            0.045389,            0.044651,            0.033178,             0.32376,             0.42181,             0.20275,             0.11565,            0.035191,            0.026725,            0.029685,             0.00901,             0.00901,             0.00901
                   5,            0.044011,            0.044756,              0.0324,             0.33296,             0.45404,             0.20982,             0.12322,            0.033425,            0.026992,            0.028988,             0.00868,             0.00868,             0.00868
                   6,            0.042964,            0.045013,            0.031393,             0.34996,             0.42668,             0.22903,             0.13778,            0.032782,            0.026353,            0.028638,             0.00835,             0.00835,             0.00835
                   7,            0.042225,            0.043597,            0.030961,             0.34848,             0.45355,             0.23015,             0.13606,            0.032338,            0.026324,             0.02835,             0.00802,             0.00802,             0.00802
                   8,            0.040628,            0.043856,            0.030035,             0.35727,             0.49382,             0.24149,             0.14743,            0.031647,            0.025974,            0.027791,             0.00769,             0.00769,             0.00769
                   9,             0.04023,            0.043024,            0.029786,             0.21634,             0.47442,             0.24152,             0.15337,            0.030947,             0.02614,            0.027074,             0.00736,             0.00736,             0.00736
                  10,            0.039327,            0.043053,            0.029186,             0.22439,             0.45483,             0.24362,             0.15287,            0.030973,             0.02586,            0.027715,             0.00703,             0.00703,             0.00703
                  11,            0.039277,             0.04373,            0.028695,             0.23028,              0.4798,             0.25285,             0.15836,            0.030978,            0.025855,            0.026224,              0.0067,              0.0067,              0.0067
                  12,            0.038888,            0.043051,            0.027966,             0.27191,             0.48766,             0.25134,             0.16354,            0.030079,            0.025835,            0.026139,             0.00637,             0.00637,             0.00637
                  13,            0.038316,            0.043142,            0.027668,             0.23499,             0.47919,             0.25593,              0.1683,            0.029719,            0.026024,            0.027436,             0.00604,             0.00604,             0.00604
                  14,             0.03752,            0.042682,            0.027528,             0.24752,              0.5148,             0.25476,              0.1619,            0.030361,            0.026136,            0.026116,             0.00571,             0.00571,             0.00571
                  15,            0.037123,            0.042335,            0.027238,             0.23382,             0.51058,              0.2548,             0.16845,            0.029302,            0.025578,            0.025927,             0.00538,             0.00538,             0.00538
                  16,            0.036618,            0.042458,             0.02718,             0.24477,             0.50466,              0.2608,             0.17151,            0.028973,            0.025536,             0.02666,             0.00505,             0.00505,             0.00505
                  17,            0.036067,            0.041999,            0.026569,             0.22193,             0.51166,             0.25388,              0.1678,            0.028702,            0.025503,             0.02518,             0.00472,             0.00472,             0.00472
                  18,            0.035552,            0.041992,            0.026534,             0.24464,             0.50725,             0.26103,             0.17611,            0.028582,            0.025741,            0.025405,             0.00439,             0.00439,             0.00439
                  19,            0.035803,            0.042744,             0.02621,             0.26339,             0.51194,               0.271,             0.18337,            0.028512,            0.025543,            0.025248,             0.00406,             0.00406,             0.00406
                  20,            0.034767,            0.042451,            0.025167,             0.24793,             0.51072,             0.26696,             0.17933,            0.027964,            0.025312,            0.024488,             0.00373,             0.00373,             0.00373
                  21,            0.034551,            0.041878,            0.025559,             0.25887,             0.50063,             0.27672,             0.18975,            0.027587,            0.025315,            0.024446,              0.0034,              0.0034,              0.0034
                  22,            0.034619,             0.04078,            0.026147,             0.24651,             0.52395,             0.27608,             0.18775,            0.027419,            0.025342,            0.024767,             0.00307,             0.00307,             0.00307
                  23,            0.034351,            0.041277,            0.025534,             0.24976,             0.53456,             0.27136,             0.18759,            0.027556,            0.025224,            0.024972,             0.00274,             0.00274,             0.00274
                  24,            0.033645,            0.040875,            0.025171,             0.24537,             0.53849,             0.27013,              0.1842,            0.027031,              0.0254,            0.025001,             0.00241,             0.00241,             0.00241
                  25,            0.033534,            0.041073,            0.025103,             0.26838,             0.52959,             0.27163,             0.18844,            0.026803,            0.025481,            0.026222,             0.00208,             0.00208,             0.00208
                  26,            0.033006,            0.040559,            0.024908,             0.25931,             0.54679,              0.2746,             0.19269,            0.026453,            0.025334,            0.024926,             0.00175,             0.00175,             0.00175
                  27,            0.032808,            0.040554,            0.024667,             0.26342,             0.55799,               0.279,             0.19463,            0.026191,            0.024993,            0.023802,             0.00142,             0.00142,             0.00142
                  28,            0.032849,            0.040615,            0.024195,             0.25484,             0.53993,             0.27905,             0.19629,            0.026068,            0.025017,            0.024249,             0.00109,             0.00109,             0.00109
                  29,            0.032323,            0.040362,            0.024187,             0.26157,             0.53257,             0.28055,             0.19767,            0.025845,            0.024779,            0.023971,             0.00076,             0.00076,             0.00076
