               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074299,            0.045708,            0.049491,             0.23397,             0.27887,             0.10119,            0.050999,            0.042027,            0.027645,            0.037862,            0.070014,           0.0033317,           0.0033317
                   1,            0.051557,            0.044955,            0.038607,             0.29996,             0.35451,             0.18033,              0.1059,            0.035831,            0.026784,            0.032245,            0.039882,           0.0065331,           0.0065331
                   2,            0.047693,            0.044056,            0.034043,             0.32213,             0.43165,              0.1843,            0.098081,            0.037284,            0.026543,            0.030426,           0.0096183,           0.0096025,           0.0096025
                   3,            0.044818,            0.044306,            0.032173,             0.32702,             0.47392,             0.21764,             0.12351,            0.033473,            0.026198,            0.028461,            0.009406,            0.009406,            0.009406
                   4,            0.042119,            0.043763,            0.031366,             0.35309,             0.45364,             0.23008,             0.13953,            0.032469,            0.026644,            0.028036,            0.009406,            0.009406,            0.009406
                   5,            0.040709,            0.043745,            0.030486,             0.33925,             0.49559,             0.22892,             0.14347,            0.030941,            0.026539,            0.027905,            0.009208,            0.009208,            0.009208
                   6,             0.03977,            0.043922,            0.029665,             0.37319,             0.45698,             0.25084,             0.15914,            0.030665,            0.025809,            0.026717,             0.00901,             0.00901,             0.00901
                   7,            0.038896,             0.04232,            0.028868,             0.35963,             0.46721,             0.24804,             0.16402,            0.029747,            0.025733,              0.0269,            0.008812,            0.008812,            0.008812
                   8,            0.037479,            0.042546,            0.027986,             0.28215,             0.47552,             0.26712,             0.17192,            0.029592,            0.025529,            0.026604,            0.008614,            0.008614,            0.008614
                   9,             0.03707,            0.041734,            0.027221,             0.23303,             0.51193,             0.26479,             0.17303,            0.028921,            0.025439,            0.024946,            0.008416,            0.008416,            0.008416
                  10,            0.036409,            0.041769,            0.027116,             0.23833,             0.51243,             0.27257,             0.18067,            0.028445,            0.025142,            0.026064,            0.008218,            0.008218,            0.008218
                  11,             0.03612,            0.042262,            0.026416,              0.2479,             0.52267,             0.27164,             0.18133,            0.028594,            0.025403,            0.025197,             0.00802,             0.00802,             0.00802
                  12,            0.035949,            0.041617,            0.025831,              0.2566,             0.51765,             0.27356,             0.18428,            0.027908,             0.02509,            0.024847,            0.007822,            0.007822,            0.007822
                  13,             0.03508,            0.041558,            0.025348,             0.25509,             0.51671,              0.2725,             0.18902,            0.027121,             0.02534,            0.025302,            0.007624,            0.007624,            0.007624
                  14,            0.034435,            0.041278,            0.025429,             0.25811,             0.50407,             0.27683,             0.19147,            0.028002,            0.025254,            0.025212,            0.007426,            0.007426,            0.007426
