               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.064472,            0.046778,            0.045438,             0.44147,             0.41108,             0.16567,            0.094666,            0.035631,            0.026142,            0.034571,            0.070014,           0.0033317,           0.0033317
                   1,            0.044451,            0.042479,            0.034222,             0.32438,             0.47748,             0.22279,             0.13554,            0.030934,            0.024519,            0.029231,            0.039794,           0.0064451,           0.0064451
                   2,            0.040377,            0.041349,            0.030215,             0.19964,             0.50213,             0.25225,              0.1614,            0.028714,            0.025275,            0.027469,           0.0093544,           0.0093385,           0.0093385
                   3,            0.038153,            0.041941,            0.028963,             0.25675,             0.53277,             0.27243,             0.18314,            0.027367,            0.024759,            0.026233,             0.00901,             0.00901,             0.00901
                   4,            0.036383,            0.041596,            0.028547,             0.21452,             0.50177,             0.26224,             0.18025,            0.026771,            0.025437,            0.026082,             0.00901,             0.00901,             0.00901
                   5,            0.035298,            0.041468,            0.027762,             0.25665,             0.50364,             0.27394,             0.19098,            0.025539,             0.02501,            0.025678,             0.00868,             0.00868,             0.00868
                   6,            0.034221,            0.041472,            0.026663,             0.24987,             0.55118,             0.28029,             0.19297,            0.025782,            0.024322,            0.025825,             0.00835,             0.00835,             0.00835
                   7,            0.033113,            0.040037,             0.02606,             0.26439,             0.55037,              0.2918,              0.2086,            0.024794,             0.02514,            0.025537,             0.00802,             0.00802,             0.00802
                   8,            0.031696,            0.040014,            0.025164,             0.26989,             0.55172,              0.2964,             0.20746,            0.024591,            0.024399,            0.023972,             0.00769,             0.00769,             0.00769
                   9,            0.030851,            0.039196,            0.024341,             0.27442,             0.53636,             0.29862,              0.2177,            0.024055,            0.024334,            0.023645,             0.00736,             0.00736,             0.00736
                  10,            0.030408,            0.038993,            0.024069,             0.28026,             0.57076,             0.31288,              0.2331,            0.023783,            0.023915,            0.023866,             0.00703,             0.00703,             0.00703
                  11,             0.02947,            0.039029,             0.02325,             0.29163,             0.59276,             0.32331,             0.24131,            0.023421,            0.023793,            0.023527,              0.0067,              0.0067,              0.0067
                  12,            0.028926,             0.03833,              0.0225,             0.28637,             0.57946,             0.31285,             0.23964,            0.022486,            0.024174,            0.022913,             0.00637,             0.00637,             0.00637
                  13,            0.028125,             0.03791,             0.02186,             0.29753,             0.55768,              0.3096,             0.23851,            0.022192,            0.024289,            0.024162,             0.00604,             0.00604,             0.00604
                  14,            0.027255,            0.037693,            0.021973,             0.29352,             0.56604,             0.31308,             0.24241,            0.022641,            0.024656,            0.023122,             0.00571,             0.00571,             0.00571
                  15,            0.026722,            0.036943,            0.021368,             0.29192,             0.59435,             0.31623,             0.24232,            0.022454,            0.023921,            0.023859,             0.00538,             0.00538,             0.00538
                  16,             0.02595,            0.036714,            0.020979,             0.30965,             0.57894,             0.31635,             0.24825,            0.021467,            0.024016,            0.024696,             0.00505,             0.00505,             0.00505
                  17,            0.025353,            0.036157,            0.020248,             0.27485,             0.58265,             0.30178,             0.23275,            0.021236,            0.024505,            0.023829,             0.00472,             0.00472,             0.00472
                  18,            0.024604,            0.035707,            0.019888,             0.29491,             0.57998,             0.31084,             0.24402,            0.021626,            0.025035,            0.024161,             0.00439,             0.00439,             0.00439
                  19,              0.0245,            0.036175,            0.019553,             0.28327,              0.5915,             0.30672,             0.24329,            0.021168,            0.024655,            0.024951,             0.00406,             0.00406,             0.00406
                  20,            0.023348,            0.035214,            0.018649,              0.3082,             0.54655,             0.31648,             0.25079,            0.021081,             0.02475,            0.023428,             0.00373,             0.00373,             0.00373
                  21,             0.02273,             0.03449,            0.018373,             0.29672,             0.62475,             0.31378,             0.24784,            0.020575,            0.024655,            0.023093,              0.0034,              0.0034,              0.0034
                  22,            0.022601,            0.033439,            0.018491,             0.29638,             0.64034,             0.31044,             0.24727,            0.019958,            0.024695,            0.024133,             0.00307,             0.00307,             0.00307
                  23,            0.022153,            0.033734,            0.017902,             0.27918,             0.62136,             0.30773,             0.24877,             0.01989,            0.024908,            0.024831,             0.00274,             0.00274,             0.00274
                  24,            0.021394,            0.033007,             0.01736,             0.29433,             0.60294,             0.30876,             0.24895,            0.020032,            0.025108,            0.024871,             0.00241,             0.00241,             0.00241
                  25,            0.021068,            0.032728,            0.017073,             0.30361,             0.59588,             0.30961,             0.24979,            0.019967,            0.025246,            0.026167,             0.00208,             0.00208,             0.00208
                  26,            0.020198,             0.03176,            0.016602,             0.30565,             0.56972,             0.30739,             0.24813,            0.019771,             0.02557,             0.02561,             0.00175,             0.00175,             0.00175
                  27,            0.020107,            0.031601,            0.016188,             0.29666,             0.59704,             0.30019,             0.24701,            0.019738,            0.025943,            0.026325,             0.00142,             0.00142,             0.00142
                  28,             0.02002,            0.031418,            0.015976,             0.29885,             0.59529,             0.30799,             0.25208,            0.019599,            0.025886,            0.025589,             0.00109,             0.00109,             0.00109
                  29,            0.019353,            0.030855,            0.015524,             0.29891,             0.56945,             0.30143,             0.24649,            0.019541,            0.026355,            0.026537,             0.00076,             0.00076,             0.00076
